Year,Month,Company,Type,SubCategory,Account,Amount (INR)
2019,1,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,2526324.07
2019,1,Construct Corp A,Assets,Current Assets,Accounts Receivable,835040.7
2019,1,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-3102888.76
2019,1,Construct Corp A,Assets,Current Assets,Inventory,6189424.84
2019,1,Construct Corp A,Assets,Current Assets,Prepaid Expenses,957378.74
2019,1,Construct Corp A,Assets,PPE,Land,2201151.34
2019,1,Construct Corp A,Assets,PPE,Buildings,571400.01
2019,1,Construct Corp A,Assets,PPE,Construction Equipment,2373586.25
2019,1,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-2113309.3
2019,1,Construct Corp A,Assets,PPE,Vehicles,3546881.31
2019,1,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-6063501.65
2019,1,Construct Corp A,Assets,Other Long Term Assets,Investments,2299576.34
2019,1,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,563867.97
2019,1,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-1395247.57
2019,1,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,3162801.36
2019,1,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,5642073.03
2019,1,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,4380567.77
2019,1,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,591111.27
2019,1,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,5623629.77
2019,1,Construct Corp A,Equity,Shareholder's Equity,Common Stock,2993936.15
2019,1,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,3377358.29
2019,1,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,3332621.76
2019,1,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,2031659.21
2019,2,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,1692621.81
2019,2,Construct Corp A,Assets,Current Assets,Accounts Receivable,4736847.05
2019,2,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-1909227.66
2019,2,Construct Corp A,Assets,Current Assets,Inventory,1541482.77
2019,2,Construct Corp A,Assets,Current Assets,Prepaid Expenses,4439253.06
2019,2,Construct Corp A,Assets,PPE,Land,1014303.19
2019,2,Construct Corp A,Assets,PPE,Buildings,1859179.49
2019,2,Construct Corp A,Assets,PPE,Construction Equipment,1455986.04
2019,2,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-3557979.16
2019,2,Construct Corp A,Assets,PPE,Vehicles,288254.41
2019,2,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-2803248.58
2019,2,Construct Corp A,Assets,Other Long Term Assets,Investments,609454.77
2019,2,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,2657910.38
2019,2,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-3842698.72
2019,2,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,3032047.63
2019,2,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,4929209.49
2019,2,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,3316594.29
2019,2,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,5976121.93
2019,2,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,1058689.63
2019,2,Construct Corp A,Equity,Shareholder's Equity,Common Stock,298474.13
2019,2,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,852139.7
2019,2,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,2965872.3
2019,2,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,5158922.48
2019,3,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,4631380.09
2019,3,Construct Corp A,Assets,Current Assets,Accounts Receivable,2128751.36
2019,3,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-1906322.46
2019,3,Construct Corp A,Assets,Current Assets,Inventory,1225699.02
2019,3,Construct Corp A,Assets,Current Assets,Prepaid Expenses,4634843.25
2019,3,Construct Corp A,Assets,PPE,Land,3150012.08
