PMC WATER CONSUMPTION -December 2016,,,,,,
,,,,,,
Date,Parvati       M.L.D,New & Old cantonment  M.L.D,Waraje Close Pipe  M.L.D,Old Holkar  M.L.D,Vadgaon Close Pipe M.L.D,Total M.L.D
01-12-2016,221.450,187,0.000,10.620,37.733,456.803
02-12-2016,434.150,413,222.560,11.860,155.162,1236.732
03-12-2016,442.700,418,223.260,10.860,171.631,1266.451
04-12-2016,434.650,416,231.030,11.020,177.694,1270.394
05-12-2016,433.900,417,221.690,11.040,178.018,1261.648
06-12-2016,434.950,417,210.140,10.100,174.721,1246.911
07-12-2016,436.200,418,209.730,11.040,180.318,1255.288
08-12-2016,436.625,416,210.140,10.540,182.258,1255.563
09-12-2016,439.800,417,204.640,11.360,175.721,1248.521
10-12-2016,440.000,413,210.870,11.430,171.434,1246.734
11-12-2016,431.500,412,228.470,10.600,174.178,1256.748
12-12-2016,432.875,416,209.730,10.880,169.342,1238.827
13-12-2016,427.950,416,226.200,11.060,173.104,1254.314
14-12-2016,437.425,397,223.220,10.790,172.386,1240.821
15-12-2016,434.000,415,210.870,10.880,173.255,1244.005
16-12-2016,433.775,415,231.030,10.910,168.098,1258.813
17-12-2016,438.825,413,210.140,10.800,172.596,1245.361
18-12-2016,431.675,416,226.200,10.460,157.737,1242.072
19-12-2016,431.825,418,223.260,9.530,171.167,1253.782
20-12-2016,427.450,414,210.870,12.200,172.076,1236.596
21-12-2016,434.775,418,210.140,10.620,172.933,1246.468
22-12-2016,428.375,418,205.53,10.600,167.825,1230.330
23-12-2016,434.750,418,226.200,11.350,163.011,1253.311
24-12-2016,427.400,417,223.260,11.020,170.372,1249.052
25-12-2016,429.425,417,223.260,10.600,174.454,1254.739
26-12-2016,433.025,410,222.870,11.520,157.723,1235.138
27-12-2016,432.325,415,216.330,11.190,142.572,1217.417
28-12-2016,434.250,416,217.530,11.790,158.073,1237.643
29-12-2016,438.350,417,225.110,11.290,171.952,1263.702
30-12-2016,429.250,415,227.120,11.370,169.485,1252.225
31-12-2016,436.700,420,221.690,10.870,169.602,1258.862
TOTAL,13240.350,12645,6563.090,340.200,5126.631,37915.271
AVERAGE,427.108,407.903,211.713,10.974,165.375,1223.073
